SECTOR_ID,NCELL_ID,RATIO_ALL,RANK,COSITE
253921-2,253927-2,6.590245936,2,0
253921-2,253921-0,2.651104627,0,1
253921-2,253921-1,1.959149646,0,1
253921-2,253912-2,1.684035015,3,0
253921-2,253940-2,0.612755315,4,0
253921-2,253927-1,0.587744894,5,0
253921-2,253904-1,0.462692789,6,0
253921-2,253931-1,0.421008754,7,0
253921-2,238397-1,0.291788245,8,0
253921-2,253932-0,0.016673614,9,0
253921-2,238397-0,0.004168404,10,0
253921-2,15113-130,0,11,0
253923-1,259772-1,14.62892587,1,0
253923-1,253923-2,12.20460403,0,1
253923-1,253923-0,6.093565719,0,1
253923-1,253900-0,4.614947801,2,0
253923-1,253891-1,2.236491504,3,0
253923-1,253899-1,0.74258507,4,0
253923-1,15114-128,0.502336959,5,0
253923-1,15114-130,0.390949198,6,0
253923-1,253891-2,0.325426986,7,0
253923-1,253899-2,0.006552221,8,0
253923-1,253922-1,0.002184074,9,0
253923-1,259782-2,0,10,0
253923-1,253904-0,0,11,0
253923-1,253912-0,0,12,0
253923-1,15113-129,0,13,0
253923-2,259772-1,31.54856688,1,0
253923-2,253923-1,6.120621019,0,1
253923-2,253899-2,1.821257962,2,0
253923-2,253907-0,1.184315287,3,0
253923-2,259772-0,0.607085987,4,0
253923-2,253935-2,0.42794586,5,0
253923-2,253899-1,0.408041401,6,0
253923-2,253899-0,0.039808917,7,0
253923-2,15114-130,0.029856688,8,0
253923-2,253923-0,0,0,1
253923-2,253926-0,0,9,0
253923-2,253906-0,0,10,0
