S_SECTOR_ID,N_SECTOR_ID,S_EARFCN,N_EARFCN
124694-1,253786-1,38400,38400
124694-1,253786-2,38400,38400
124694-1,253791-0,38400,38400
124694-1,253792-0,38400,38400
124694-1,253792-2,38400,38400
124694-1,253804-0,38400,38400
124694-1,253811-0,38400,38400
124694-1,253818-0,38400,38400
124694-1,253818-1,38400,38400
124694-1,253820-1,38400,38400
124694-1,259654-0,38400,38400
124694-1,259654-1,38400,38400
124694-1,259654-2,38400,38400
124694-1,47586-16,38400,38950
124694-1,238457-16,38400,38950
124694-2,5662-128,38400,38400
124694-2,5662-129,38400,38400
124694-2,5662-130,38400,38400
124694-2,7203-128,38400,38400
124694-2,7203-129,38400,38400
124694-2,15129-129,38400,38400
124694-2,15474-128,38400,38400
124694-2,15474-129,38400,38400
124694-2,15474-130,38400,38400
124694-2,15583-128,38400,38400
124694-2,15583-129,38400,38400
124694-2,47444-2,38400,38400
124694-2,124694-0,38400,38400
124694-2,124694-1,38400,38400
124694-2,124812-1,38400,38400
124694-2,124812-2,38400,38400
124694-2,124813-2,38400,38400
124694-2,124912-0,38400,38400
124694-2,124912-2,38400,38400
124694-2,238379-0,38400,38400
124694-2,238379-2,38400,38400
124694-2,253772-0,38400,38400
124694-2,253772-1,38400,38400
124694-2,253785-0,38400,38400
124694-2,253785-1,38400,38400
124694-2,253786-0,38400,38400
124694-2,253786-2,38400,38400
124694-2,253789-0,38400,38400
124694-2,253791-0,38400,38400
124694-2,253791-2,38400,38400
124694-2,253792-0,38400,38400
124694-2,253797-0,38400,38400
124694-2,253797-1,38400,38400
124694-2,253799-0,38400,38400
124694-2,253804-0,38400,38400
124694-2,253804-1,38400,38400
124694-2,253804-2,38400,38400
124694-2,253811-0,38400,38400
124694-2,253818-0,38400,38400
124694-2,253818-2,38400,38400
124694-2,253820-1,38400,38400
124694-2,253820-2,38400,38400
124694-2,5695-144,38400,38950
124694-2,7310-144,38400,38950
124694-2,47492-16,38400,38950
124694-2,47583-16,38400,38950
124694-2,47586-16,38400,38950
124694-2,238457-16,38400,38950
124694-2,253820-4,38400,37900
124694-2,259771-16,38400,38950
124697-0,7197-128,38400,38400
124697-0,7197-129,38400,38400
124697-0,7197-130,38400,38400
124697-0,7198-128,38400,38400
124697-0,7199-128,38400,38400
124697-0,15486-128,38400,38400
124697-0,15486-129,38400,38400
124697-0,15486-130,38400,38400
124697-0,47470-0,38400,38400
124697-0,47470-1,38400,38400
124697-0,47470-2,38400,38400
124697-0,124684-1,38400,38400
124697-0,124684-2,38400,38400
124697-0,124689-0,38400,38400
124697-0,124697-1,38400,38400
124697-0,124697-2,38400,38400
